CWE-ID,Name,Type,Related Weakness,Parent,Vote,Clippy Helps?
15,External Control of System or Configuration Setting,Base,::NATURE:ChildOf:CWE ID:642:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:610:VIEW ID:1000::NATURE:ChildOf:CWE ID:20:VIEW ID:700:ORDINAL:Primary::,642,,
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Base,::NATURE:ChildOf:CWE ID:706:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:706:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:668:VIEW ID:1000::,706,,
41,Improper Resolution of Path Equivalence,Base,::NATURE:ChildOf:CWE ID:706:VIEW ID:1000:ORDINAL:Primary::,706,,
59,Improper Link Resolution Before File Access ('Link Following'),Base,::NATURE:ChildOf:CWE ID:706:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:706:VIEW ID:1003:ORDINAL:Primary::,706,,
66,Improper Handling of File Names that Identify Virtual Resources,Base,::NATURE:ChildOf:CWE ID:706:VIEW ID:1000:ORDINAL:Primary::,706,,
73,External Control of File Name or Path,Base,::NATURE:ChildOf:CWE ID:642:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:610:VIEW ID:1000::NATURE:ChildOf:CWE ID:20:VIEW ID:700:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:22:VIEW ID:1000::NATURE:CanPrecede:CWE ID:41:VIEW ID:1000::NATURE:CanPrecede:CWE ID:98:VIEW ID:1000::NATURE:CanPrecede:CWE ID:434:VIEW ID:1000::NATURE:CanPrecede:CWE ID:59:VIEW ID:1000::,642,,
76,Improper Neutralization of Equivalent Special Elements,Base,::NATURE:ChildOf:CWE ID:75:VIEW ID:1000:ORDINAL:Primary::,75,,
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Base,::NATURE:ChildOf:CWE ID:77:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:74:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:77:VIEW ID:1305:ORDINAL:Primary::NATURE:ChildOf:CWE ID:77:VIEW ID:1340:ORDINAL:Primary::NATURE:CanAlsoBe:CWE ID:88:VIEW ID:1000::,77,,
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Base,::NATURE:ChildOf:CWE ID:74:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:74:VIEW ID:1003:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:494:VIEW ID:1000::NATURE:PeerOf:CWE ID:352:VIEW ID:1000::,74,,
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,::NATURE:ChildOf:CWE ID:77:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:74:VIEW ID:1003:ORDINAL:Primary::NATURE:ChildOf:CWE ID:77:VIEW ID:1305:ORDINAL:Primary::NATURE:ChildOf:CWE ID:77:VIEW ID:1340:ORDINAL:Primary::,77,,
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Base,::NATURE:ChildOf:CWE ID:943:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:74:VIEW ID:1003:ORDINAL:Primary::,943,,
90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),Base,::NATURE:ChildOf:CWE ID:943:VIEW ID:1000:ORDINAL:Primary::,943,,
91,XML Injection (aka Blind XPath Injection),Base,::NATURE:ChildOf:CWE ID:74:VIEW ID:1000:ORDINAL:Primary::NATURE:ChildOf:CWE ID:74:VIEW ID:1003:ORDINAL:Primary::,74,,
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),Base,::NATURE:ChildOf:CWE ID:74:VIEW ID:1000:ORDINAL:Primary::NATURE:CanPrecede:CWE ID:117:VIEW ID:1000::,74,,
