repo, exclusion reasoning
microsoft/vscode, Not enough information in descriptions of CVEs
flutter/flutter, No Vulnerabilities Found
microsoft/PowerToys, No Vulnerabilities Found
Genymobile/scrcpy, No Vulnerabilities Found
oven-sh/bun, No Vulnerabilities Found
nomic-ai/gpt4all, No Vulnerabilities Found
swiftlang/swift, No Vulnerabilities Found
microsoft/playwright, No Vulnerabilities Found
ventoy/Ventoy, No Vulnerabilities Found
ocornut/imgui, No Vulnerabilities Found
obsproject/obs-studio, No Vulnerabilities Found
Eugeny/tabby, No Vulnerabilities Found
danielmiessler/SecLists, No Vulnerabilities Found
AppFlowy-IO/AppFlowy, No Vulnerabilities Found
commaai/openpilot, No Vulnerabilities Found
JetBrains/kotlin, No Vulnerabilities Found
topjohnwu/Magisk, No Vulnerabilities Found
zed-industries/zed, No Vulnerabilities Found
rclone/rclone, No Vulnerabilities Found
JuliaLang/julia, No Vulnerabilities Found
x64dbg/x64dbg, No Vulnerabilities Found
pandas-dev/pandas, No Vulnerabilities Found
WerWolv/ImHex, No Vulnerabilities Found
PaddlePaddle/PaddleOCR, No Vulnerabilities Found
localsend/localsend, No Vulnerabilities Found
nwjs/nw.js, No Vulnerabilities Found
fastlane/fastlane, No Vulnerabilities Found
Light-City/CPlusPlusThings, No Vulnerabilities Found
hpcaitech/ColossalAI, No Vulnerabilities Found
wg/wrk, No Vulnerabilities Found
google/styleguide, No Vulnerabilities Found
QSCTech/zju-icicles, No Vulnerabilities Found
google/leveldb, No Vulnerabilities Found
vlang/v, No Vulnerabilities Found
dotnet/aspnetcore, No Vulnerabilities Found
aria2/aria2, No Vulnerabilities Found
termux/termux-app, No Vulnerabilities Found
microsoft/DeepSpeed, No Vulnerabilities Found
Ryujinx/Ryujinx, No Vulnerabilities Found
huihut/interview, No Vulnerabilities Found
ggerganov/whisper.cpp, No Vulnerabilities Found
zhongyang219/TrafficMonitor, No Vulnerabilities Found
google/googletest, No Vulnerabilities Found
google-research/google-research, No Vulnerabilities Found
ziglang/zig, No Vulnerabilities Found
AFNetworking/AFNetworking, No Vulnerabilities Found
PKUanonym/REKCARC-TSC-UHT, No Vulnerabilities Found
XX-net/XX-Net, No Vulnerabilities Found
expo/expo, No Vulnerabilities Found
ccxt/ccxt, No Vulnerabilities Found
bilibili/ijkplayer, No Vulnerabilities Found
carbon-language/carbon-lang, No Vulnerabilities Found
logseq/logseq, No Vulnerabilities Found
sqlmapproject/sqlmap, No Vulnerabilities Found
spacedriveapp/spacedrive, No Vulnerabilities Found
doocs/leetcode, No Vulnerabilities Found
microsoft/MS-DOS, No Vulnerabilities Found
facebookresearch/faiss, No Vulnerabilities Found
