github repo,cve vendor,cve product,cve ids
01-Scripts/01-Artikelsystem,01-scripts,01-artikelsystem,CVE-2021-4310
01-Scripts/01ACP,01-scripts,01acp,CVE-2021-4309
3proxy/3proxy,3proxy,3proxy,CVE-2006-6981 CVE-2006-6982 CVE-2007-2031 CVE-2007-5622 CVE-2019-14495
abcprintf/upload-image-with-ajax,abcprintf,upload-image-with-ajax,CVE-2019-8293
absolunet/kafe,absolunet,kafe,CVE-2020-7761
accel-ppp/accel-ppp,accel-ppp,accel-ppp,CVE-2020-15173 CVE-2020-28194 CVE-2021-42054 CVE-2021-42870 CVE-2022-0982 CVE-2022-24704 CVE-2022-24705
Accenture/mercury,accenture,mercury,CVE-2020-10990
acrontum/filesystem-template,acrontum,filesystem-template,CVE-2022-21186
acumos/design-studio,acumos,design-studio,CVE-2018-25097
adaptivecomputing/torque,adaptivecomputing,torqueresourcemanager,
Admidio/admidio,admidio,admidio,CVE-2008-5209 CVE-2017-6492 CVE-2017-8382 CVE-2020-11004 CVE-2021-32630 CVE-2021-43810 CVE-2022-0991 CVE-2022-23896
agentejo/cockpit,agentejo,cockpit,CVE-2017-14611 CVE-2018-15538 CVE-2018-15539 CVE-2018-15540 CVE-2020-14408 CVE-2020-35131 CVE-2020-35846 CVE-2020-35847 CVE-2020-35848 CVE-2021-32857 CVE-2022-2713 CVE-2022-2818
aio-libs/aiohttp,aiolibs,aiohttpsession,
aircrack-ng/aircrack-ng,aircrack-ng,aircrack-ng,CVE-2010-1159 CVE-2014-8321 CVE-2014-8322 CVE-2014-8323 CVE-2014-8324
ajenti/ajenti,ajenti,ajenti,CVE-2014-2260 CVE-2014-4301 CVE-2018-1000080 CVE-2018-1000081 CVE-2018-1000082 CVE-2018-1000083 CVE-2018-1000126 CVE-2019-25066
alibaba/fastjson,alibaba,fastjson,CVE-2017-18349 CVE-2022-25845
Alinto/sogo,alinto,sogo,CVE-2014-9905 CVE-2015-5395 CVE-2016-6188 CVE-2016-6189 CVE-2016-6191
ampache/ampache,ampache,ampache,CVE-2006-5668 CVE-2007-4437 CVE-2007-4438 CVE-2008-3929 CVE-2017-18375 CVE-2019-12385 CVE-2019-12386 CVE-2020-15153 CVE-2021-21399 CVE-2021-32644
angular/angular,angular,angular,CVE-2021-4231
anonaddy/anonaddy,anonaddy,anonaddy,CVE-2021-42216
ansible/ansible,ansible,ansible,CVE-2016-9587
AntonKueltz/fastecdsa,antonkueltz,fastecdsa,CVE-2020-12607
AntSwordProject/antSword,antswordproject,antsword,CVE-2019-13970 CVE-2020-18766 CVE-2020-25470
