FOSS project name,description,stars,forks,issues,watchers
freeCodeCamp/freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,416692,39837,181,8566
codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,372789,34679,204,5967
sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,356554,28919,13,7839
EbookFoundation/free-programming-books,:books: Freely available programming books,355112,63182,31,9844
public-apis/public-apis,A collective list of free APIs,335906,35542,2,4269
jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,314488,78402,56,8435
kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",313931,40821,189,6811
donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,296657,49322,236,6705
996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,270530,21096,0,4185
vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",240795,25558,0,6086
facebook/react,The library for web and native user interfaces.,234682,48290,792,6736
awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,225097,10531,0,2761
practical-tutorials/project-based-learning,Curated list of project-based tutorials,224611,29360,120,3262
vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",208723,33738,356,5844
TheAlgorithms/Python,All Algorithms implemented in Python,199537,46589,65,5945
torvalds/linux,Linux kernel source tree,191910,55557,0,7789
trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,190976,30643,132,4307
tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,189421,74639,835,7504
getify/You-Dont-Know-JS,A book series (2 published editions) on the JS language.,181803,33618,81,5869
CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,179810,51208,122,5266
ossu/computer-science,🎓 Path to a free self-taught education in Computer Science!,178191,22586,13,5835
ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",177758,26050,133,2646
Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",174580,45573,149,1556
twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",172207,79069,387,6706
microsoft/vscode,Visual Studio Code,170170,31630,9380,3343
flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,169809,28380,12858,3506
github/gitignore,A collection of useful .gitignore templates,165828,83071,0,3412
jackfrued/Python-100-Days,Python - 100天从新手到大师,164222,53491,552,6097
trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",163453,10258,0,2553
jlevy/the-art-of-command-line,"Master the command line, in one page",155607,14654,118,2833
AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,151414,28165,2326,1121
Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,149261,45801,70,4484
airbnb/javascript,JavaScript Style Guide,146561,26743,95,3732
huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",143165,28683,1056,1145
avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",142039,12232,5,2818
ollama/ollama,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",137787,11477,1511,790
ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,135183,10295,3671,2179
massgravel/Microsoft-Activation-Scripts,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, KMS38, and Online KMS activation methods, along with advanced troubleshooting.",131479,12814,2,1199
vercel/next.js,The React Framework,131179,28177,2483,1477
labuladong/fucking-algorithm,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ",127614,23350,2,2287
golang/go,The Go programming language,127267,17980,9129,3370
yangshun/tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers,125376,15307,39,2162
Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,123411,12136,0,2597
f/awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,123159,16492,0,1469
facebook/react-native,A framework for building native applications using React,121588,24591,629,3585
Genymobile/scrcpy,Display and control your Android device,120791,11377,2285,1282
microsoft/PowerToys,Windows system utilities to maximize productivity,117465,6943,6374,1153
