github repo,cve vendor,cve product,cve ids
facebook/react,facebook,react,CVE-2018-6341
microsoft/vscode,microsoft,vscodemaven,
golang/go,golang,go,CVE-2012-2666 CVE-2014-7189 CVE-2015-5739 CVE-2015-5740 CVE-2015-5741 CVE-2015-8618 CVE-2016-3958 CVE-2016-3959 CVE-2016-5386 CVE-2017-1000097 CVE-2017-1000098 CVE-2017-15041 CVE-2017-15042 CVE-2017-8932 CVE-2018-16873 CVE-2018-16874 CVE-2018-16875 CVE-2018-6574 CVE-2018-7187 CVE-2019-11888 CVE-2019-14809 CVE-2019-16276 CVE-2019-17596 CVE-2019-6486 CVE-2019-9634 CVE-2019-9741 CVE-2020-0601 CVE-2020-14039 CVE-2020-15586 CVE-2020-16845 CVE-2020-24553 CVE-2020-28362 CVE-2020-28366 CVE-2020-28367 CVE-2020-28851 CVE-2020-29509 CVE-2020-29510 CVE-2020-29511 CVE-2020-7919 CVE-2021-23772 CVE-2021-27918 CVE-2021-27919 CVE-2021-29923 CVE-2021-3114 CVE-2021-3115 CVE-2021-31525 CVE-2021-33194 CVE-2021-33195 CVE-2021-33196 CVE-2021-33197 CVE-2021-33198 CVE-2021-34558 CVE-2021-36221 CVE-2021-38297 CVE-2021-39293 CVE-2021-41771 CVE-2021-41772 CVE-2021-44716 CVE-2021-44717 CVE-2022-1705 CVE-2022-1962 CVE-2022-23772 CVE-2022-23773 CVE-2022-23806 CVE-2022-24675 CVE-2022-24921 CVE-2022-27536 CVE-2022-27664 CVE-2022-28131 CVE-2022-28327 CVE-2022-2879 CVE-2022-2880 CVE-2022-29526 CVE-2022-29804 CVE-2022-30580 CVE-2022-30629 CVE-2022-30630 CVE-2022-30631 CVE-2022-30632 CVE-2022-30633 CVE-2022-30634 CVE-2022-30635
facebook/react-native,facebook,react-native,CVE-2020-1920
electron/electron,electron,electron,CVE-2017-12581
kubernetes/kubernetes,kubernetes,kubernetes,CVE-2015-7528 CVE-2015-7561 CVE-2016-1905 CVE-2016-1906 CVE-2016-7075 CVE-2017-1000056 CVE-2017-1002100 CVE-2017-1002101 CVE-2017-1002102 CVE-2018-1002100 CVE-2018-1002101 CVE-2018-1002102 CVE-2018-1002105 CVE-2019-1002100 CVE-2019-1002101 CVE-2019-11243 CVE-2019-11244 CVE-2019-11245 CVE-2019-11246 CVE-2019-11247 CVE-2019-11248 CVE-2019-11249 CVE-2019-11250 CVE-2019-11251 CVE-2019-11252 CVE-2019-11253 CVE-2019-11254 CVE-2019-9946 CVE-2020-8551 CVE-2020-8552 CVE-2020-8554 CVE-2020-8555 CVE-2020-8557 CVE-2020-8558 CVE-2020-8559 CVE-2020-8561 CVE-2020-8562 CVE-2020-8563 CVE-2020-8564 CVE-2020-8565 CVE-2020-8566 CVE-2021-25735 CVE-2021-25736 CVE-2021-25737 CVE-2021-25740 CVE-2021-25741 CVE-2021-25743 CVE-2021-25749
nodejs/node,nodejs,nodejs,
rust-lang/rust,rust-lang,rust,CVE-2015-20001 CVE-2017-20004 CVE-2018-1000622 CVE-2018-1000657 CVE-2018-1000810 CVE-2018-25008 CVE-2019-1010299 CVE-2019-12083 CVE-2019-16760 CVE-2020-36317 CVE-2020-36318 CVE-2020-36323 CVE-2021-28875 CVE-2021-28876 CVE-2021-28877 CVE-2021-28878 CVE-2021-28879 CVE-2021-29922 CVE-2021-31162 CVE-2022-21658
godotengine/godot,godotengine,godot,CVE-2018-1000224 CVE-2019-10069
neovim/neovim,neovim,neovim,CVE-2019-12735
bitcoin/bitcoin,bitcoin,bitcoin,CVE-2017-9230 CVE-2021-31876 CVE-2021-3401
opencv/opencv,opencv,opencv,CVE-2016-1516 CVE-2016-1517 CVE-2017-1000450 CVE-2017-12597 CVE-2017-12598 CVE-2017-12599 CVE-2017-12600 CVE-2017-12601 CVE-2017-12602 CVE-2017-12603 CVE-2017-12604 CVE-2017-12605 CVE-2017-12606 CVE-2017-12862 CVE-2017-12863 CVE-2017-12864 CVE-2017-14136 CVE-2017-17760 CVE-2017-18009 CVE-2018-5268 CVE-2018-5269 CVE-2018-7712 CVE-2018-7713 CVE-2018-7714 CVE-2019-14491 CVE-2019-14492 CVE-2019-14493 CVE-2019-15939 CVE-2019-16249 CVE-2019-19624 CVE-2019-5063 CVE-2019-5064
netdata/netdata,netdata,netdata,CVE-2019-9834
elastic/elasticsearch,elastic,elasticsearch,CVE-2015-1427 CVE-2015-5377 CVE-2018-17244 CVE-2018-17247 CVE-2018-3826 CVE-2018-3831 CVE-2019-7611 CVE-2019-7614 CVE-2019-7619 CVE-2020-7009 CVE-2020-7014 CVE-2020-7019 CVE-2020-7020 CVE-2020-7021 CVE-2021-22132 CVE-2021-22134 CVE-2021-22135 CVE-2021-22137 CVE-2021-22144 CVE-2021-22145 CVE-2021-22146 CVE-2021-22147 CVE-2021-37937 CVE-2022-23708 CVE-2022-23712
redis/redis,redis,redis,CVE-2021-31294 CVE-2021-32626 CVE-2021-32627 CVE-2021-32628 CVE-2021-32672 CVE-2021-32675 CVE-2021-32687 CVE-2021-32762 CVE-2021-41099 CVE-2022-0543 CVE-2022-24735 CVE-2022-24736 CVE-2022-24834
scikit-learn/scikit-learn,scikit-learn,scikit-learn,CVE-2020-13092 CVE-2020-28975
git/git,git,git,CVE-2006-0477 CVE-2008-3546 CVE-2008-5516 CVE-2008-5517 CVE-2008-5916 CVE-2009-2108 CVE-2010-3906 CVE-2020-5260 CVE-2022-25648
JetBrains/kotlin,jetbrains,kotlin,CVE-2019-10101 CVE-2019-10102 CVE-2019-10103 CVE-2020-15824 CVE-2020-29582 CVE-2022-24329
ethereum/go-ethereum,ethereum,go-ethereum,CVE-2018-12018 CVE-2018-16733 CVE-2018-19184 CVE-2018-20421 CVE-2020-26240 CVE-2020-26241 CVE-2020-26242 CVE-2020-26264 CVE-2020-26265 CVE-2021-39137 CVE-2021-41173 CVE-2021-42219 CVE-2021-43668 CVE-2022-23327 CVE-2022-23328 CVE-2022-29177
rclone/rclone,rclone,rclone,CVE-2018-12907 CVE-2020-28924
JuliaLang/julia,julialang,julia,CVE-2021-4048
